time, angle, torque
1050.617888, 9.395505355e-05, 5.727124482e-06
1051.580448, 0.04442947504, 1.303722177e-05
1051.584544, 0.04461878187, 1.306929129e-05
1052.125216, 0.06905851267, 1.724494276e-05
1052.129312, 0.06924320162, 1.727732086e-05
1052.686368, 0.09380496086, 2.165507527e-05
1052.690464, 0.09398319798, 2.168789649e-05
1052.846112, 0.1007019053, 2.293250929e-05
1052.850208, 0.100876448, 2.296513644e-05
1053.259808, 0.1182112537, 2.626695239e-05
1053.263904, 0.1183813415, 2.630024221e-05
1053.86192, 0.1426279393, 3.119014091e-05
1053.866016, 0.1427901001, 3.122429079e-05
1054.341152, 0.1610216406, 3.516032021e-05
1054.345248, 0.1611750204, 3.519460535e-05
1054.849056, 0.1793601524, 3.937119369e-05
1054.853152, 0.1795035461, 3.94053363e-05
1055.39792, 0.1977056162, 4.386470866e-05
1055.402016, 0.197837078, 4.389811725e-05
1056.008224, 0.2161224714, 4.868100403e-05
1056.01232, 0.2162392857, 4.871266734e-05
1056.581664, 0.231359274, 5.290385681e-05
1056.58576, 0.2314618925, 5.293311156e-05
1057.114144, 0.2436165372, 5.644654813e-05
1057.11824, 0.243704302, 5.647236538e-05
1057.20016, 0.2454125553, 5.697419758e-05
1057.204256, 0.245497009, 5.699906567e-05
1057.601568, 0.2531594943, 5.927008556e-05
1057.605664, 0.2532318364, 5.929150923e-05
1058.170912, 0.2621680337, 6.193682692e-05
1058.175008, 0.2622248208, 6.195339873e-05
1058.6952, 0.2683926631, 6.370248063e-05
1058.699296, 0.2684331522, 6.371329492e-05
1058.916384, 0.2704096785, 6.42261904e-05
1058.92048, 0.2704428796, 6.423428609e-05
1059.252256, 0.2727654707, 6.47575232e-05
1059.256352, 0.272789506, 6.476216387e-05
1059.55536, 0.2741666676, 6.495827083e-05
1059.559456, 0.2741819377, 6.495952197e-05
1059.86256, 0.2748742272, 6.488372982e-05
1059.866656, 0.274879101, 6.488088674e-05
1060.010016, 0.2749589897, 6.474666374e-05
1060.014112, 0.2749595912, 6.47421495e-05
1060.165664, 0.2748703633, 6.453232923e-05
1060.16976, 0.2748664127, 6.452604142e-05
1060.47696, 0.2741395632, 6.389118446e-05
1060.481056, 0.2741253521, 6.388090262e-05
1060.792352, 0.2726527378, 6.295564894e-05
1060.796448, 0.2726288363, 6.294169562e-05
1061.103648, 0.2704474842, 6.175712767e-05
1061.107744, 0.270414628, 6.173991584e-05
