time, angle, torque
975.21872, -5.049223178e-05, 1.153248782e-07
975.312928, 0.004272897754, 1.528973299e-07
975.317024, 0.004460188773, 1.545245731e-07
975.427616, 0.009561928587, 1.988592503e-07
975.431712, 0.009750607091, 2.005013503e-07
976.28368, 0.04878573157, 5.392672484e-07
976.287776, 0.04897503209, 5.409459383e-07
976.975904, 0.07979114017, 8.160038449e-07
976.98, 0.07997479967, 8.176872861e-07
977.692704, 0.1107507763, 1.102314968e-06
977.6968, 0.1109247128, 1.103974807e-06
978.348064, 0.1376634077, 1.36128353e-06
978.35216, 0.1378269711, 1.3629043e-06
978.995232, 0.1626119002, 1.60976942e-06
978.999328, 0.1627654517, 1.61134216e-06
979.585056, 0.1836964642, 1.825343205e-06
979.589152, 0.1838373293, 1.826813465e-06
980.158496, 0.2024792821, 2.019798925e-06
980.162592, 0.202607908, 2.021150299e-06
980.70736, 0.2187141769, 2.187374163e-06
980.711456, 0.2188297775, 2.188575309e-06
981.026848, 0.2273253839, 2.275248929e-06
981.030944, 0.2274312188, 2.276323729e-06
981.235744, 0.2326051424, 2.328286137e-06
981.23984, 0.2327074498, 2.32931531e-06
981.719072, 0.2437241289, 2.435325459e-06
981.723168, 0.2438119165, 2.436148247e-06
982.214688, 0.2534741335, 2.521551748e-06
982.218784, 0.2535480764, 2.522172831e-06
982.710304, 0.261485511, 2.582177533e-06
982.7144, 0.2615442038, 2.582569951e-06
983.20592, 0.2677009462, 2.616017585e-06
983.210016, 0.2677458589, 2.616205636e-06
983.689248, 0.2719959767, 2.622861949e-06
983.693344, 0.272025335, 2.622816807e-06
983.803936, 0.2727563517, 2.620662117e-06
983.808032, 0.2727793212, 2.620522173e-06
984.16848, 0.274501228, 2.604200385e-06
984.172576, 0.27451725, 2.603960857e-06
984.610848, 0.2752527702, 2.565444213e-06
984.614944, 0.275256311, 2.565038054e-06
984.651808, 0.2752471125, 2.560793635e-06
984.655904, 0.275248052, 2.560350934e-06
984.950816, 0.2748096807, 2.522001997e-06
984.954912, 0.2748003247, 2.52142567e-06
985.237536, 0.2737459396, 2.476758143e-06
985.241632, 0.2737265252, 2.476056529e-06
985.511968, 0.2721370308, 2.426439282e-06
985.516064, 0.2721111765, 2.425667352e-06
985.810976, 0.2697356164, 2.364418132e-06
985.815072, 0.2696980984, 2.363514981e-06
986.056736, 0.2672562436, 2.308057515e-06
986.060832, 0.267210382, 2.307067793e-06
986.097696, 0.2667981849, 2.298161811e-06
986.101792, 0.2667528748, 2.297184366e-06
986.396704, 0.2630833881, 2.222897998e-06
986.4008, 0.2630284433, 2.221829253e-06
986.695712, 0.2587093407, 2.141733288e-06
986.699808, 0.2586466993, 2.140599234e-06
986.998816, 0.2536177951, 2.054119748e-06
987.002912, 0.2535463409, 2.052917214e-06
987.310112, 0.2477110902, 1.959182442e-06
987.314208, 0.2476305397, 1.957915345e-06
987.592736, 0.2417648996, 1.869099471e-06
987.596832, 0.2416770109, 1.867790232e-06
988.198944, 0.2272132579, 1.667153068e-06
988.20304, 0.2271078997, 1.665745574e-06
988.522528, 0.218478262, 1.554302759e-06
988.526624, 0.2183650648, 1.552867422e-06
988.846112, 0.209104112, 1.43914129e-06
988.850208, 0.2089842403, 1.437693261e-06
989.464608, 0.1895052584, 1.215295614e-06
989.468704, 0.1893713691, 1.213813028e-06
989.992992, 0.1711475815, 1.020485999e-06
989.997088, 0.1710006497, 1.01896454e-06
990.545952, 0.1505012607, 8.146889119e-07
990.550048, 0.1503449592, 8.131639854e-07
990.808096, 0.1402540994, 7.163056228e-07
990.812192, 0.1400895517, 7.147410303e-07
991.1112, 0.1280654459, 6.022412498e-07
991.115296, 0.1278985027, 6.006929451e-07
991.754272, 0.1011490157, 3.598399964e-07
991.758368, 0.1009754478, 3.582951532e-07
992.262176, 0.07904423355, 1.663405062e-07
992.266272, 0.07886424633, 1.647709884e-07
992.888864, 0.05098627667, -7.535329768e-08
992.89296, 0.0508027064, -7.694100427e-08
993.994784, 0.000272948587, -5.121152829e-07
993.99888, 8.529119895e-05, -5.137795181e-07
994.773024, -0.03555950003, -8.330305104e-07
994.77712, -0.03574734659, -8.347668543e-07
995.518496, -0.06934957227, -1.150121341e-06
995.522592, -0.06953417454, -1.151918558e-06
995.833888, -0.0833582253, -1.287463931e-06
995.837984, -0.08354054396, -1.289283257e-06
996.218912, -0.100156621, -1.456183862e-06
996.223008, -0.100333417, -1.457996683e-06
996.870176, -0.1276047522, -1.740327014e-06
996.874272, -0.1277738698, -1.742138031e-06
997.492768, -0.1524608602, -2.007400279e-06
997.496864, -0.152619816, -2.009158056e-06
998.144032, -0.1767205918, -2.274451446e-06
998.148128, -0.176868507, -2.27612137e-06
998.717472, -0.1963817352, -2.493021499e-06
998.721568, -0.1965173455, -2.494551634e-06
999.3032, -0.2146298632, -2.69329077e-06
999.307296, -0.2147518834, -2.694635994e-06
