time, displacement, force
0.612384, 0, -4.464251499e-20
4.556832, 0, -4.464251499e-20
4.560928, 0, -4.464251499e-20
5.9208, 0, -4.464251499e-20
5.924896, 0, -4.464251499e-20
10.680352, 0, -4.464251499e-20
10.684448, 0, -4.464251499e-20
12.773408, 0, -4.464251499e-20
12.777504, -3.90625e-11, -1.967076897e-10
12.82256, -6.09765625e-08, -3.070874612e-07
12.826656, -7.28515625e-08, -3.665810795e-07
12.830752, -8.47265625e-08, -4.263473004e-07
12.834848, -9.66015625e-08, -4.861081998e-07
12.871712, -3.18125e-07, -1.600408297e-06
12.875808, -3.463671875e-07, -1.742534756e-06
12.908576, -6.699609375e-07, -3.369510702e-06
12.912672, -7.14609375e-07, -3.594151797e-06
12.94544, -1.178867188e-06, -5.927123166e-06
12.949536, -1.243515625e-06, -6.252331368e-06
