time, displacement, force
0.612384, 0, 0
4.556832, 0, -5.634003917e-16
4.560928, 0, -5.634003917e-16
5.9208, 0, -8.451005875e-16
5.924896, 0, -8.451005875e-16
10.680352, 0, -1.408500979e-15
10.684448, 0, -1.408500979e-15
12.773408, 0, -1.690201175e-15
12.777504, -3.90625e-11, -6.954240021e-09
12.82256, -6.09765625e-08, -1.060814412e-05
12.826656, -7.28515625e-08, -1.269825779e-05
12.830752, -8.47265625e-08, -1.478280103e-05
12.834848, -9.66015625e-08, -1.686245642e-05
12.871712, -3.18125e-07, -5.523801884e-05
12.875808, -3.463671875e-07, -6.013884637e-05
12.908576, -6.699609375e-07, -0.0001157578907
12.912672, -7.14609375e-07, -0.0001234436122
12.94544, -1.178867188e-06, -0.0002026158748
12.949536, -1.243515625e-06, -0.000213671673
