time, angle, torque
955.553824, -1.967678897e-05, 8.42146878e-06
956.127264, 0.02615170928, 1.529609009e-05
956.13136, 0.02633579002, 1.534467506e-05
956.54096, 0.04428261641, 1.998243715e-05
956.545056, 0.04446009326, 2.002868228e-05
956.835872, 0.05661371881, 2.314597745e-05
956.839968, 0.05678212192, 2.318942409e-05
957.15536, 0.06926263575, 2.636263587e-05
957.159456, 0.06941974193, 2.640273174e-05
957.478944, 0.08117325351, 2.936183289e-05
957.48304, 0.08131887808, 2.939861246e-05
957.745184, 0.09018382422, 3.160322633e-05
957.74928, 0.09031753451, 3.163645337e-05
958.044192, 0.09939729152, 3.385216421e-05
958.048288, 0.09951870901, 3.388173775e-05
958.269472, 0.1056349714, 3.533363649e-05
958.273568, 0.1057425448, 3.535879366e-05
958.277664, 0.1058494959, 3.538373807e-05
958.28176, 0.1059558281, 3.540847062e-05
958.56848, 0.1128981403, 3.698029859e-05
958.572576, 0.1129893047, 3.700016715e-05
958.81424, 0.11799485, 3.805318286e-05
958.818336, 0.1180718384, 3.806835969e-05
959.10096, 0.1228474127, 3.89436679e-05
959.105056, 0.122908909, 3.895366227e-05
959.359008, 0.1262051804, 3.940463907e-05
959.363104, 0.1262507087, 3.940915436e-05
959.61296, 0.128542393, 3.952826007e-05
959.617056, 0.1285735515, 3.952785814e-05
959.854624, 0.1298598539, 3.933469504e-05
959.85872, 0.1298748147, 3.932867155e-05
960.088096, 0.1302844046, 3.885760313e-05
960.092192, 0.1302858158, 3.884698342e-05
960.100384, 0.130284269, 3.882413244e-05
960.10448, 0.1302843039, 3.881302267e-05
960.387104, 0.1296132568, 3.784109558e-05
960.3912, 0.1295953047, 3.78239422e-05
960.686112, 0.1275812414, 3.637973936e-05
960.690208, 0.1275440109, 3.635628296e-05
960.976928, 0.1243134, 3.45495847e-05
960.981024, 0.1242580648, 3.452049071e-05
961.284128, 0.1195066916, 3.221278349e-05
961.288224, 0.1194358994, 3.217938968e-05
961.411104, 0.1171268916, 3.112613794e-05
961.4152, 0.1170451845, 3.108942662e-05
961.587232, 0.113463532, 2.952641278e-05
961.591328, 0.1133742618, 2.948794196e-05
961.890336, 0.1061847111, 2.654546251e-05
961.894432, 0.1060784882, 2.650278521e-05
962.226208, 0.09676501487, 2.293928623e-05
962.230304, 0.09664306854, 2.289336495e-05
962.512928, 0.08765558258, 1.963813397e-05
962.517024, 0.08751946222, 1.958943268e-05
962.783264, 0.07828490138, 1.63941578e-05
962.78736, 0.07813866147, 1.634406607e-05
963.020832, 0.06944152431, 1.344776634e-05
963.024928, 0.06928459651, 1.339593401e-05
963.270688, 0.05964311877, 1.029829978e-05
963.274784, 0.05947830155, 1.024574106e-05
963.618848, 0.04518539807, 5.849618067e-06
963.622944, 0.04501147683, 5.796564086e-06
964.26192, 0.01674758716, -2.339100977e-06
964.266016, 0.01656282031, -2.391890244e-06
964.622368, 0.0001923755713, -6.946251765e-06
964.626464, 4.01890867e-06, -6.998616358e-06
965.564448, -0.04296568747, -1.834475418e-05
965.568544, -0.04314893754, -1.839387221e-05
965.974048, -0.06089515498, -2.307673821e-05
965.978144, -0.06107136759, -2.312375664e-05
966.260768, -0.07287302507, -2.623865959e-05
966.264864, -0.07304268235, -2.628390442e-05
966.584352, -0.08567905367, -2.961052382e-05
966.588448, -0.08583642428, -2.965227135e-05
966.907936, -0.09757236329, -3.273174043e-05
966.912032, -0.09771817895, -3.277027224e-05
967.198752, -0.1073541153, -3.528005632e-05
967.202848, -0.1074864831, -3.531458763e-05
967.346208, -0.1119695339, -3.647370407e-05
967.350304, -0.1120923182, -3.650516943e-05
967.469088, -0.1156457916, -3.74181472e-05
967.473184, -0.1157666069, -3.744921063e-05
967.706656, -0.1222034507, -3.906903761e-05
967.710752, -0.1223111664, -3.909588527e-05
967.981088, -0.1288742518, -4.068514765e-05
967.985184, -0.1289659583, -4.070665161e-05
968.243232, -0.1343137311, -4.191922871e-05
968.247328, -0.1343908722, -4.193576101e-05
968.513568, -0.138904535, -4.284197097e-05
968.517664, -0.1389658682, -4.285294882e-05
968.763424, -0.1422084178, -4.336387781e-05
968.76752, -0.1422550229, -4.336958871e-05
969.017376, -0.144626912, -4.355877595e-05
969.021472, -0.1446583725, -4.355901402e-05
969.144352, -0.1454703794, -4.352098569e-05
969.148448, -0.1454928773, -4.351793154e-05
969.271328, -0.1460689332, -4.33946026e-05
969.275424, -0.1460841184, -4.338891839e-05
969.508896, -0.1465245143, -4.292531279e-05
969.512992, -0.1465246686, -4.291419778e-05
969.529376, -0.1465227146, -4.286887631e-05
969.533472, -0.1465219691, -4.285745473e-05
969.742368, -0.146130172, -4.216122463e-05
969.746464, -0.1461160061, -4.214503152e-05
969.959456, -0.1450186459, -4.119136483e-05
969.963552, -0.1449914168, -4.117065203e-05
970.168352, -0.1432711024, -4.002600991e-05
970.172448, -0.1432309823, -4.000094507e-05
970.389536, -0.1407076478, -3.855779112e-05
970.393632, -0.140654714, -3.852860041e-05
970.614816, -0.137367432, -3.683290058e-05
970.618912, -0.1372997689, -3.679904526e-05
970.85648, -0.1329664771, -3.473878123e-05
970.860576, -0.1328869411, -3.470165409e-05
970.926112, -0.1315572839, -3.409097329e-05
970.930208, -0.131470739, -3.405159451e-05
971.28656, -0.1231722342, -3.049028648e-05
971.290656, -0.1230677882, -3.044647993e-05
971.61424, -0.1140931994, -2.686151145e-05
971.618336, -0.1139729595, -2.681428209e-05
971.905056, -0.1049965429, -2.342628968e-05
971.909152, -0.1048612748, -2.337596402e-05
972.257312, -0.09274739311, -1.906465375e-05
972.261408, -0.09259903765, -1.901264011e-05
972.580896, -0.08045489857, -1.491682303e-05
972.584992, -0.08029461346, -1.486343719e-05
972.892192, -0.06783000091, -1.085488085e-05
972.896288, -0.06765908789, -1.08004927e-05
973.31408, -0.04971516722, -5.33694838e-06
973.318176, -0.04953453357, -5.28255851e-06
974.39952, -0.0001958080329, 8.273308717e-06
974.403616, -4.410421965e-06, 8.325556969e-06
